match_group_id,match_group_size,match_group_sources,duplicate_status,exact_duplicate_size,recommended_action,is_real_gig_guess,needs_review,review_reason,normalized_date,normalized_time,normalized_venue_key,source_family,source_file,source_row,source_segment,source_status,source_calendar,calendar_event_id,gig_bucket,venue_name,event_name,address_or_location,place_id,original_date,original_time,raw_text
G0005,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-02-17,,hoppy dude brews ridge hinckley,current_sheet_past_gigs,assets/data/jddm-venues.csv,214,1,Played in the Past,,,past,Hoppy Dude Brews 1369 Ridge Rd,2024-02-17 | COMPLETED | JDDM Live @ Hoppy Dude Brews | 1369 Ridge Rd,"Hinckley, OH 44233, OH",hoppy-dude-brews-1369-ridge-rd-hinckley-oh-44233,2024-02-17 | COMPLETED | JDDM Live @ Hoppy Dude Brews | 1369 Ridge Rd,2024-02-17 | COMPLETED | JDDM Live @ Hoppy Dude Brews | 1369 Ridge Rd,2024-02-17 | COMPLETED | JDDM Live @ Hoppy Dude Brews | 1369 Ridge Rd
G0005,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-02-17,,hoppy dude brews ridge hinckley,current_sheet_past_gigs,assets/data/jddm-venues.csv,214,7,Played in the Past,,,past,Hoppy Dude Brews 1369 Ridge Rd,OH 44233 | historical-2024-02-17-hoppy-dude-brews-jddm-live-hoppy-dude-brews-6,"Hinckley, OH 44233, OH",hoppy-dude-brews-1369-ridge-rd-hinckley-oh-44233,OH 44233 | historical-2024-02-17-hoppy-dude-brews-jddm-live-hoppy-dude-brews-6,OH 44233 | historical-2024-02-17-hoppy-dude-brews-jddm-live-hoppy-dude-brews-6,OH 44233 | historical-2024-02-17-hoppy-dude-brews-jddm-live-hoppy-dude-brews-6
G0005,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-02-17,,hoppy dude brews ridge hinckley,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,6,,COMPLETED,,,past,"1369 Ridge Rd, Hinckley, OH 44233",JDDM Live @ Hoppy Dude Brews,"1369 Ridge Rd, Hinckley, OH 44233",,"Saturday, February 17, 2024",Not Listed,"Saturday, February 17, 2024 | Not Listed | JDDM Live @ Hoppy Dude Brews | 1369 Ridge Rd, Hinckley, OH 44233"
G0006,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-02-23,,bascule house colorado lorain,current_sheet_past_gigs,assets/data/jddm-venues.csv,34,1,Played in the Past,,,past,Bascule Brewery and Public House,2024-02-23 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave,"1397 Colorado Ave, Lorain, OH, 44052",bascule-brewery-and-public-house-lorain-oh-44052,2024-02-23 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave,2024-02-23 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave,2024-02-23 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave
G0006,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-02-23,,bascule house colorado lorain,current_sheet_past_gigs,assets/data/jddm-venues.csv,34,5,Played in the Past,,,past,Bascule Brewery and Public House,OH 44052 | historical-2024-02-23-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-7,"1397 Colorado Ave, Lorain, OH, 44052",bascule-brewery-and-public-house-lorain-oh-44052,OH 44052 | historical-2024-02-23-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-7,OH 44052 | historical-2024-02-23-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-7,OH 44052 | historical-2024-02-23-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-7
G0006,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-02-23,,justdeedeemuisc bascule house colorado lorain,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,7,,COMPLETED,,,past,"1397 Colorado Ave, Lorain, OH 44052",JustDeeDeeMuisc Live @ Bascule Brewery and Public House,"1397 Colorado Ave, Lorain, OH 44052",,"Friday, February 23, 2024",Not Listed,"Friday, February 23, 2024 | Not Listed | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave, Lorain, OH 44052"
G0007,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-03-02,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,3,Booked,,,past,Das Weinhaus,2024-03-02 | COMPLETED | Just Dee Dee back at Das Weinhaus | 3232 Erhart Road,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,2024-03-02 | COMPLETED | Just Dee Dee back at Das Weinhaus | 3232 Erhart Road,2024-03-02 | COMPLETED | Just Dee Dee back at Das Weinhaus | 3232 Erhart Road,2024-03-02 | COMPLETED | Just Dee Dee back at Das Weinhaus | 3232 Erhart Road
G0007,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-03-02,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,64,Booked,,,past,Das Weinhaus,Ohio 44253 | historical-2024-03-02-das-weinhaus-just-dee-dee-back-at-das-weinhaus-8,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,Ohio 44253 | historical-2024-03-02-das-weinhaus-just-dee-dee-back-at-das-weinhaus-8,Ohio 44253 | historical-2024-03-02-das-weinhaus-just-dee-dee-back-at-das-weinhaus-8,Ohio 44253 | historical-2024-03-02-das-weinhaus-just-dee-dee-back-at-das-weinhaus-8
G0007,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-03-02,,back das weinhaus erhart litchfield united states,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,8,,COMPLETED,,,past,"3232 Erhart Road, Litchfield, OH, United States, Ohio 44253",Just Dee Dee back at Das Weinhaus,"3232 Erhart Road, Litchfield, OH, United States, Ohio 44253",,"Saturday, March 02, 2024",Not Listed,"Saturday, March 02, 2024 | Not Listed | Just Dee Dee back at Das Weinhaus | 3232 Erhart Road, Litchfield, OH, United States, Ohio 44253"
G0008,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-03-15,,amy arbors center valley city,current_sheet_past_gigs,assets/data/jddm-venues.csv,19,1,Played in the Past,,,past,Amy's Arbors,2024-03-15 | COMPLETED | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd,"6735 Center Road Valley City, Ohio 44280, OH",amy-s-arbors-6735-center-road-valley-city-oh,2024-03-15 | COMPLETED | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd,2024-03-15 | COMPLETED | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd,2024-03-15 | COMPLETED | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd
G0008,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-03-15,,amy arbors center valley city,current_sheet_past_gigs,assets/data/jddm-venues.csv,19,3,Played in the Past,,,past,Amy's Arbors,OH 44280 | historical-2024-03-15-amys-arbors-justdeedeemuisc-live-amys-arbors-9,"6735 Center Road Valley City, Ohio 44280, OH",amy-s-arbors-6735-center-road-valley-city-oh,OH 44280 | historical-2024-03-15-amys-arbors-justdeedeemuisc-live-amys-arbors-9,OH 44280 | historical-2024-03-15-amys-arbors-justdeedeemuisc-live-amys-arbors-9,OH 44280 | historical-2024-03-15-amys-arbors-justdeedeemuisc-live-amys-arbors-9
G0008,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-03-15,,justdeedeemuisc amy arbors center valley city,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,9,,COMPLETED,,,past,"6735 Center Rd, Valley City, OH 44280",JustDeeDeeMuisc Live @ AMY'S ARBORS,"6735 Center Rd, Valley City, OH 44280",,"Friday, March 15, 2024",Not Listed,"Friday, March 15, 2024 | Not Listed | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd, Valley City, OH 44280"
G0009,4,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-03-28,,lost trail vineyard state ne canton,current_sheet_past_gigs,assets/data/jddm-venues.csv,246,1,Played in the Past,,,past,Lost Trail Winery and Vineyard 5228 State St NE,2024-03-28 | COMPLETED | JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard | 5228 State St NE,"Canton, OH 44721, OH",lost-trail-winery-and-vineyard-5228-state-st-ne-canton-oh-44721,2024-03-28 | COMPLETED | JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard | 5228 State St NE,2024-03-28 | COMPLETED | JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard | 5228 State St NE,2024-03-28 | COMPLETED | JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard | 5228 State St NE
G0009,4,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-03-28,,lost trail vineyard state ne canton,current_sheet_past_gigs,assets/data/jddm-venues.csv,246,4,Played in the Past,,,past,Lost Trail Winery and Vineyard 5228 State St NE,OH 44721 | historical-2024-03-28-lost-trail-winery-and-vineyard-justdeedeemuisc-live-lost-trail-winery-and-vineyard-10,"Canton, OH 44721, OH",lost-trail-winery-and-vineyard-5228-state-st-ne-canton-oh-44721,OH 44721 | historical-2024-03-28-lost-trail-winery-and-vineyard-justdeedeemuisc-live-lost-trail-winery-and-vineyard-10,OH 44721 | historical-2024-03-28-lost-trail-winery-and-vineyard-justdeedeemuisc-live-lost-trail-winery-and-vineyard-10,OH 44721 | historical-2024-03-28-lost-trail-winery-and-vineyard-justdeedeemuisc-live-lost-trail-winery-and-vineyard-10
G0009,4,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-03-28,,lost trail vineyard state ne canton,current_sheet_past_gigs,assets/data/jddm-venues.csv,246,5,Played in the Past,,,past,Lost Trail Winery and Vineyard 5228 State St NE,last played=2024-03-28.,"Canton, OH 44721, OH",lost-trail-winery-and-vineyard-5228-state-st-ne-canton-oh-44721,last played=2024-03-28.,last played=2024-03-28.,last played=2024-03-28.
G0009,4,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-03-28,,justdeedeemuisc lost trail vineyard state ne canton,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,10,,COMPLETED,,,past,"5228 State St NE, Canton, OH 44721",JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard,"5228 State St NE, Canton, OH 44721",,"Thursday, March 28, 2024",Not Listed,"Thursday, March 28, 2024 | Not Listed | JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard | 5228 State St NE, Canton, OH 44721"
G0163,1,google_calendar_export,unique_single_source,1,Exclude from gig count unless manually confirmed,no,yes,"Calendar row looks private, proposed, all-day tour, travel, or placeholder",2024-03-29,,private private,google_calendar_export,data/staged/jddm-calendar-gigs.csv,2,,COMPLETED,justdeedeemusic@gmail.com,45ml7g6j966749fa3kmdpfkmk7@google.com,past,Private Event,Private Event,,,2024-03-29,,2024-03-29 | COMPLETED | Private Event | Private Event
G0164,1,google_calendar_export,unique_single_source,1,Exclude from gig count unless manually confirmed,no,yes,"Calendar row looks private, proposed, all-day tour, travel, or placeholder",2024-03-30,,private private,google_calendar_export,data/staged/jddm-calendar-gigs.csv,3,,COMPLETED,justdeedeemusic@gmail.com,7r5ias9jnkv7k417hrmmhc2bko@google.com,past,Private Event,Private Event,,,2024-03-30,,2024-03-30 | COMPLETED | Private Event | Private Event
G0165,1,google_calendar_export,unique_single_source,1,Exclude from gig count unless manually confirmed,no,yes,"Calendar row looks private, proposed, all-day tour, travel, or placeholder",2024-04-05,,private private,google_calendar_export,data/staged/jddm-calendar-gigs.csv,4,,COMPLETED,justdeedeemusic@gmail.com,0ag4harbb9v4jtoo2ms6m3genq@google.com,past,Private Event,Private Event,,,2024-04-05,,2024-04-05 | COMPLETED | Private Event | Private Event
G0166,1,google_calendar_export,unique_single_source,1,Exclude from gig count unless manually confirmed,no,yes,"Calendar row looks private, proposed, all-day tour, travel, or placeholder",2024-04-06,,private private,google_calendar_export,data/staged/jddm-calendar-gigs.csv,5,,COMPLETED,justdeedeemusic@gmail.com,0dvg4bmj5tejvfs3592ptj76hq@google.com,past,Private Event,Private Event,,,2024-04-06,,2024-04-06 | COMPLETED | Private Event | Private Event
G0010,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-04-13,,uncle chuck place main wakeman,current_sheet_past_gigs,assets/data/jddm-venues.csv,460,1,Played in the Past,,,past,Uncle Chuck's Place,2024-04-13 | COMPLETED | JustDeeDeeMusic Live @ Uncle Chuck's Place | 19 W Main St,"19 W Main St, Wakeman, OH, 44889",uncle-chuck-s-place-wakeman-oh-44889,2024-04-13 | COMPLETED | JustDeeDeeMusic Live @ Uncle Chuck's Place | 19 W Main St,2024-04-13 | COMPLETED | JustDeeDeeMusic Live @ Uncle Chuck's Place | 19 W Main St,2024-04-13 | COMPLETED | JustDeeDeeMusic Live @ Uncle Chuck's Place | 19 W Main St
G0010,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-04-13,,uncle chuck place main wakeman,current_sheet_past_gigs,assets/data/jddm-venues.csv,460,3,Played in the Past,,,past,Uncle Chuck's Place,OH 44889 | historical-2024-04-13-uncle-chucks-place-justdeedeemusic-live-uncle-chucks-place-11,"19 W Main St, Wakeman, OH, 44889",uncle-chuck-s-place-wakeman-oh-44889,OH 44889 | historical-2024-04-13-uncle-chucks-place-justdeedeemusic-live-uncle-chucks-place-11,OH 44889 | historical-2024-04-13-uncle-chucks-place-justdeedeemusic-live-uncle-chucks-place-11,OH 44889 | historical-2024-04-13-uncle-chucks-place-justdeedeemusic-live-uncle-chucks-place-11
G0010,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-04-13,,justdeedeemusic uncle chuck place main wakeman,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,11,,COMPLETED,,,past,"19 W Main St, Wakeman, OH 44889",JustDeeDeeMusic Live @ Uncle Chuck's Place,"19 W Main St, Wakeman, OH 44889",,"Saturday, April 13, 2024",Not Listed,"Saturday, April 13, 2024 | Not Listed | JustDeeDeeMusic Live @ Uncle Chuck's Place | 19 W Main St, Wakeman, OH 44889"
G0011,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-04-14,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,4,Booked,,,past,Das Weinhaus,2024-04-14 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,2024-04-14 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd,2024-04-14 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd,2024-04-14 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd
G0011,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-04-14,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,56,Booked,,,past,Das Weinhaus,OH 44253 | historical-2024-04-14-das-weinhaus-justdeedeemuisc-live-das-weinhaus-12,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,OH 44253 | historical-2024-04-14-das-weinhaus-justdeedeemuisc-live-das-weinhaus-12,OH 44253 | historical-2024-04-14-das-weinhaus-justdeedeemuisc-live-das-weinhaus-12,OH 44253 | historical-2024-04-14-das-weinhaus-justdeedeemuisc-live-das-weinhaus-12
G0011,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-04-14,,justdeedeemuisc das weinhaus erhart litchfield,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,12,,COMPLETED,,,past,"3232 Erhart Rd, Litchfield, OH 44253",JustDeeDeeMuisc Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",,"Sunday, April 14, 2024",Not Listed,"Sunday, April 14, 2024 | Not Listed | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd, Litchfield, OH 44253"
G0012,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-04-20,,hoppy dude brews ridge hinckley,current_sheet_past_gigs,assets/data/jddm-venues.csv,214,2,Played in the Past,,,past,Hoppy Dude Brews 1369 Ridge Rd,2024-04-20 | COMPLETED | JustDeeDeeMuisc Live @ Hoppy Dude Brews | 1369 Ridge Rd,"Hinckley, OH 44233, OH",hoppy-dude-brews-1369-ridge-rd-hinckley-oh-44233,2024-04-20 | COMPLETED | JustDeeDeeMuisc Live @ Hoppy Dude Brews | 1369 Ridge Rd,2024-04-20 | COMPLETED | JustDeeDeeMuisc Live @ Hoppy Dude Brews | 1369 Ridge Rd,2024-04-20 | COMPLETED | JustDeeDeeMuisc Live @ Hoppy Dude Brews | 1369 Ridge Rd
